Name,Price,Rating
"Galaxy A15 5G A Series Cell Phone, 128GB Unlocked Android Smartphone, AMOLED Display, Expandable Storage, Knox Security, Super Fast Charging, US Version, 2024, Blue Black",$199.99,4.4
"Samsung Galaxy A03s, 32GB, Black - Prepaid Smartphone (Locked)",$46.07,4.0
"Motorola Moto g Pure, 32GB, Blue - Prepaid Smartphone (Locked)",$46.80,3.9
"SAMSUNG Galaxy A54 5G A Series Cell Phone, Factory Unlocked Android Smartphone, 128GB w/ 6.4” Fluid Display Screen, Hi Res Camera, Long Battery Life, Refined Design, US Version, 2023, Awesome Violet",$440.99,4.4
"SAMSUNG Galaxy A54 5G A Series Cell Phone, Factory Unlocked Android Smartphone, 128GB w/ 6.4” Fluid Display Screen, Hi Res Camera, Long Battery Life, Refined Design, US Version, 2023, Awesome Violet",$440.99,4.4
"UMIDIGI A15C (16+128GB) Android 13 NFC Unlocked Cell Phone，48MP Ultra-Clear AI Camera Mobile Phone,5000mAh Battery Smartphone,6.7"" HD Full View Display Dual Unlock Phone-Lavender Purple",$149.99,4.1
"Think Phone | 2023 | Unlocked | Made for US 8/256GB | 50MP Camera | Volcanic Gray, 6.6 inches",$399.24,4.6
Edge + |2022| 4800mAh Battery | Unlocked | Made for US 8/512GB | 50MP Camera | Stardust White,$464.99,4.2
"I15 Pro Max (12+512GB), Android Unlocked 5G Cellphone, 6.8inch FHD Screen, 6800mAh Battery,13+48MP Camera, Support 1TB Expandable Storage, Dual Nao SIM Card (Black)",$149.99,3.8
"C1 Unlocked Smartphone,Android 12 GO 3GB+32GB 256GB Expandable Cell Phone 5150mAh Battery with 6.52"" Full Screen T-Mobile Smartphone 13MP Camera Mobile Phone",$67.99,3.5
"Samsung Galaxy A03s, 32GB, Black - Prepaid Smartphone (Locked)",$55.58,4.2
"C23 Ultra 5G Unlocked Smartphone,6GB+256GB Fully Unlocked Cell Phone for Android 13, 6.8"" Unlocked Cell Phone, 6800mAh, 48MP+108MP Dual Camera/Dual SIM/Fingerprint Lock/Face ID 5G Phone (Black)",$188.88,3.3
"Galaxy Z Fold 5 Cell Phone, Factory Unlocked Android Smartphone, 512GB, Big 7.6” Screen for Streaming, Gaming, Dual App View, One-Hand Control, Hands-Free Use, US Version, 2023, Icy Blue","$1,919.99",4.4
"Motorola Moto g Play, 32GB, Black - Prepaid Smartphone (Locked)",$39.88,3.9
"A14 Pro Max Unlocked 5G Cell Phone, 6.9 Inch FHD+ 90Hz Screen Android 13 Smartphone 6000mAh Battery, 6GB+256GB Octa-Core, 64MP/24MP AI Camera Mobile Phone, Dual SIM with GPS/Face ID - Black",$149.99,2.0
Moto G Stylus 5G | 2021 | 2-Day Battery | Unlocked | Made for US 4/128GB | 48MP Camera | Cosmic Emerald,$135.22,4.3
"I14 Pro Max Unlocked Cell Phone,Long Battery Life 6.82"" HD Screen Unlocked Phones,Android13 6+256GB Smartphone with 128G Memory Card,Dual SIM/Fingerprint Lock/Face ID/GPS (White)",$158.99,3.8
Unlocked Android Phone S23 Ultra Cellphone Android 13 Smart Mobile Phone 8-core 8GB+256GB Cell Phone 6.8-inch HD Screen Mobile Phone 50MP+13MP Camera 6500 mAh Extra Large Battery 4G Dual SIM (White),$159.99,2.1
"l15 Pro Max Unlocked Cell Phone,Android 13.0 Phone,5G Smartphone,Snapdragon8 Gen3,6GB +256GB with 64GB Memory Card,6.8"" HD Screen,6800mAh Battery,32MP+64MP Camera,Support Dual SIM/Face(Gold)",$149.98,2.5
"Screen Protector for iPhone 14 Plus 13 Pro Max, Tempered Glass Screen Protector for Apple Phone, Fast Install Auto Alignment Frame, Curved Edge Full Coverage, 4 Pack",$9.99,4.6
"Rugged Phones Unlocked, 2023 Blackview BV6200 Rugged Smartphone, 13000mAh Battery 18W Fast Charge, Android 13, 8GB+64GB/2TB Expand, Loudest Speaker Waterproof Mobile Phones,Three Card Slots,Glove Mode",$199.99,4.2
"Active Noise Cancelling Headphones, 65 Hours Playtime Bluetooth Headphones with Microphone, Transparency Mode, Deep Bass and Hi-Fi Stereo Sound (Black)",$14.99,4.5
